0	1	w	w	2.60410023
1	2	h	h	2.27439594
2	3	e	e	0.687693179
3	4	n	n	2.52267504
4	5	<space>	<space>	1.41942346
5	6	i	i	2.70741677
6	7	n	n	1.15188503
7	8	<space>	<space>	1.41942346
8	9	t	t	1.75658226
9	10	h	h	1.00378263
10	11	e	e	0.687693179
11	12	<space>	<space>	1.02307355
12	13	c	c	3.24370646
13	14	r	r	2.54969501
14	15	s	s	3.00708175
15	16	e	e	2.14921284
16	17	<space>	<space>	1.02307355
17	18	o	o	2.65158105
18	19	f	f	2.04879189
19	20	<space>	<space>	0.858941615
20	21	h	h	2.865659
21	22	e	e	0.687693179
22	23	m	m	3.89795065
23	24	a	a	1.77111208
24	25	n	n	1.55948949
25	26	<space>	<space>	1.41942346
26	27	e	e	3.96102095
27	28	v	v	4.37813616
28	29	e	e	0.386321723
29	30	n	n	2.52267504
30	31	t	t	2.44967294
31	32	s	s	3.74970412
32	33	<space>	<space>	0.979560316
33	34	i	i	2.70741677
34	35	t	t	2.01930594
35	36	<space>	<space>	1.45042324
36	37	b	b	3.08396196
37	38	u	u	2.0589993
38	39	c	c	3.43820739
39	40	o	o	1.84483671
40	41	m	m	2.93678689
41	42	s	s	3.96701026
42	43	<space>	<space>	0.979560316
43	44	n	n	3.95673442
44	45	c	c	3.56931734
45	46	a	a	2.10105991
46	47	s	s	2.3560822
47	48	s	s	3.06071305
48	49	e	e	2.14921284
49	50	r	r	2.07071567
50	51	y	y	3.41473103
51	52	<space>	<space>	0.256625235
52	53	f	f	3.23334146
53	54	r	r	2.57429409
54	55	<space>	<space>	1.63552785
55	56	o	o	2.65158105
56	57	n	n	1.89795983
57	58	e	e	2.47610641
58	59	<space>	<space>	1.02307355
59	60	p	p	3.55274916
60	61	p	p	2.71315837
61	62	l	l	2.24203563
62	63	e	e	1.70818067
63	64	<space>	<space>	1.02307355
64	65	t	t	1.75658226
65	66	o	o	2.47683597
66	67	<space>	<space>	2.18763447
67	68	d	d	3.51577163
68	69	s	s	3.46498394
69	70	s	s	3.06071305
70	71	l	l	4.36968231
71	72	v	v	4.91102743
72	73	e	e	0.386321723
73	74	<space>	<space>	1.02307355
74	75	t	t	1.75658226
75	76	h	h	1.00378263
76	77	e	e	0.687693179
77	78	<space>	<space>	1.02307355
78	79	p	p	3.55274916
79	80	l	l	2.24203563
80	81	t	t	3.97913122
81	82	c	c	5.08190966
82	83	l	l	2.81438136
83	84	<space>	<space>	2.20587301
84	85	b	b	3.08396196
85	86	e	e	1.31731367
86	87	n	n	2.52267504
87	88	d	d	1.60656905
88	89	s	s	3.46498394
89	90	<space>	<space>	0.979560316
90	8.77960014
