0	1	w	w	3.96621704
1	2	h	h	2.98792267
2	3	n	n	2.82987309
3	4	<space>	<space>	1.70899105
4	5	i	i	2.89536858
5	6	n	n	2.82987309
6	7	<space>	<space>	1.70899105
7	8	t	t	2.5414238
8	9	h	h	2.98792267
9	10	e	e	2.2783432
10	11	<space>	<space>	1.70899105
11	12	c	c	3.96735191
12	13	r	r	3.03404522
13	14	s	s	3.00382519
14	15	e	e	2.2783432
15	16	<space>	<space>	1.70899105
16	17	o	o	2.86243343
17	18	f	f	3.98733997
18	19	<space>	<space>	1.70899105
19	20	h	h	2.98792267
20	21	m	m	3.86242962
21	22	n	n	2.82987309
22	23	<space>	<space>	1.70899105
23	24	e	e	2.2783432
24	25	v	v	4.92842627
25	26	n	n	2.82987309
26	27	t	t	2.5414238
27	28	s	s	3.00382519
28	29	<space>	<space>	1.70899105
29	30	i	i	2.89536858
30	31	t	t	2.5414238
31	32	<space>	<space>	1.70899105
32	33	b	b	4.39844704
33	34	c	c	3.96735191
34	35	m	m	3.86242962
35	36	s	s	3.00382519
36	37	<space>	<space>	1.70899105
37	38	n	n	2.82987309
38	39	c	c	3.96735191
39	40	s	s	3.00382519
40	41	s	s	3.00382519
41	42	r	r	3.03404522
42	43	y	y	4.22872734
43	44	<space>	<space>	1.70899105
44	45	f	f	3.98733997
45	46	r	r	3.03404522
46	47	<space>	<space>	1.70899105
47	48	o	o	2.86243343
48	49	n	n	2.82987309
49	50	e	e	2.2783432
50	51	<space>	<space>	1.70899105
51	52	p	p	4.24422455
52	53	p	p	4.24422455
53	54	l	l	3.46552086
54	55	e	e	2.2783432
55	56	<space>	<space>	1.70899105
56	57	t	t	2.5414238
57	58	o	o	2.86243343
58	59	<space>	<space>	1.70899105
59	60	d	d	3.23390865
60	61	s	s	3.00382519
61	62	s	s	3.00382519
62	63	l	l	3.46552086
63	64	v	v	4.92842627
64	65	e	e	2.2783432
65	66	<space>	<space>	1.70899105
66	67	t	t	2.5414238
67	68	h	h	2.98792267
68	69	e	e	2.2783432
69	70	<space>	<space>	1.70899105
70	71	p	p	4.24422455
71	72	l	l	3.46552086
72	73	t	t	2.5414238
73	74	c	c	3.96735191
74	75	l	l	3.46552086
75	76	<space>	<space>	1.70899105
76	77	b	b	4.39844704
77	78	n	n	2.82987309
78	79	d	d	3.23390865
79	80	s	s	3.00382519
80	81	<space>	<space>	1.70899105
81	5.84599018
