0	1	w	w	3.96621704
1	2	h	h	2.98792267
2	3	n	n	2.82987309
3	4	<space>	<space>	1.70899105
4	5	n	n	2.82987309
5	6	<space>	<space>	1.70899105
6	7	t	t	2.5414238
7	8	h	h	2.98792267
8	9	<space>	<space>	1.70899105
9	10	c	c	3.96735191
10	11	r	r	3.03404522
11	12	s	s	3.00382519
12	13	<space>	<space>	1.70899105
13	14	f	f	3.98733997
14	15	<space>	<space>	1.70899105
15	16	h	h	2.98792267
16	17	m	m	3.86242962
17	18	n	n	2.82987309
18	19	<space>	<space>	1.70899105
19	20	v	v	4.92842627
20	21	n	n	2.82987309
21	22	t	t	2.5414238
22	23	s	s	3.00382519
23	24	<space>	<space>	1.70899105
24	25	t	t	2.5414238
25	26	<space>	<space>	1.70899105
26	27	b	b	4.39844704
27	28	c	c	3.96735191
28	29	m	m	3.86242962
29	30	s	s	3.00382519
30	31	<space>	<space>	1.70899105
31	32	n	n	2.82987309
32	33	c	c	3.96735191
33	34	s	s	3.00382519
34	35	s	s	3.00382519
35	36	r	r	3.03404522
36	37	y	y	4.22872734
37	38	<space>	<space>	1.70899105
38	39	f	f	3.98733997
39	40	r	r	3.03404522
40	41	<space>	<space>	1.70899105
41	42	n	n	2.82987309
42	43	<space>	<space>	1.70899105
43	44	p	p	4.24422455
44	45	p	p	4.24422455
45	46	l	l	3.46552086
46	47	<space>	<space>	1.70899105
47	48	t	t	2.5414238
48	49	<space>	<space>	1.70899105
49	50	d	d	3.23390865
50	51	s	s	3.00382519
51	52	s	s	3.00382519
52	53	l	l	3.46552086
53	54	v	v	4.92842627
54	55	<space>	<space>	1.70899105
55	56	t	t	2.5414238
56	57	h	h	2.98792267
57	58	<space>	<space>	1.70899105
58	59	p	p	4.24422455
59	60	l	l	3.46552086
60	61	t	t	2.5414238
61	62	c	c	3.96735191
62	63	l	l	3.46552086
63	64	<space>	<space>	1.70899105
64	65	b	b	4.39844704
65	66	n	n	2.82987309
66	67	d	d	3.23390865
67	68	s	s	3.00382519
68	69	<space>	<space>	1.70899105
69	5.84599018
